Wall time,Step,Value
1700744827.376341,8659,934451.5
1700744843.34563,8672,477117.6875
1700744857.259539,8695,350793.0
1700744872.3668122,8715,283404.65625
1700744887.4653065,8737,196384.15625
1700744902.0788984,8759,554225.0625
1700744917.3331468,8770,214588.71875
1700744935.227225,8790,324415.0625
1700744948.0129023,8805,227067.09375
1700744962.2502077,8814,272350.59375
1700744979.048107,8837,401412.96875
1700744992.3660727,8850,806199.625
1700745008.6027615,8866,460914.375
1700745023.8620543,8888,351350.375
1700745037.975349,8905,901480.5
1700745052.3812494,8921,1085322.75
1700745068.0654187,8936,276639.90625
1700745082.3297608,8955,439682.25
1700745097.2122297,8976,439407.0625
1700745112.3958206,8991,415488.5
1700745126.9924264,9014,956039.1875
1700745143.9190354,9031,414999.8125
1700745157.0050066,9052,228654.96875
1700745173.1645434,9070,1144562.625
1700745188.2285836,9093,954973.3125
1700745202.5188184,9116,444869.25
1700745217.8882854,9136,290069.09375
1700745232.958387,9149,253998.5625
1700745247.6914065,9171,293901.4375
1700745262.9639447,9190,594586.25
1700745277.9710157,9204,887501.5625
1700745293.486447,9231,294721.90625
1700745307.5483067,9249,239211.234375
1700745323.615938,9265,219239.734375
1700745337.190631,9282,442575.5625
1700745352.1625106,9296,387581.5625
1700745367.5744138,9316,502949.3125
1700745382.469505,9343,279794.9375
1700745397.3559496,9368,517773.09375
1700745412.5125113,9393,577746.5625
1700745426.9553874,9417,191892.59375
1700745442.265499,9439,226880.6875
1700745457.261264,9465,229536.203125
1700745472.3929882,9489,393530.625
1700745487.8734128,9516,311927.3125
1700745502.6707647,9539,331878.34375
1700745518.2915025,9565,392751.78125
1700745532.471717,9589,350285.0625
1700745547.9710636,9617,521963.46875
1700745562.3792481,9638,442488.5
1700745577.2680726,9665,709708.25
1700745592.0689936,9690,484450.6875
1700745608.2230246,9717,429542.40625
1700745623.9381402,9738,662918.3125
1700745637.359876,9752,234348.6875
1700745651.9816642,9777,608711.5625
1700745668.7607696,9801,574781.0625
1700745682.0622914,9825,318390.375
1700745697.4945588,9848,375724.59375
1700745712.2442603,9874,319794.28125
1700745726.9893985,9898,1654598.375
1700745742.1609821,9924,360833.5625
1700745757.569949,9947,244291.59375
1700745772.4365058,9975,323017.0
1700745787.4186685,9997,847743.9375
